Model	Trait	Variable	CoefMedian	CoefLowerHPD	CoefUpperHPD	pp	BF
GLM_combined	Regions	Sample Size Origin	1.76958990654021	-2.77789863591777	3.08181959319471	0.66290412176426	33.071186133512
GLM_combined	Regions	Sample Size Destination	0.772545611014334	0.644330173892608	0.902546807701618	1	756839.187146122
GLM_combined	Regions	Products Origin	0.0205753586700199	-3.83254651153389	3.93126495174989	0.00664370625486055	0.112475483599217
GLM_combined	Regions	Products Destination	-0.0183091489571433	-3.89459161571758	3.92737108295078	0.000644372847461411	0.0108435045048044
GLM_combined	Regions	Accipitridae Count Origin	-0.0306712569116127	-3.90926958501087	3.97073321616169	0.0106877013665154	0.181678441995245
GLM_combined	Regions	Accipitridae Count Destination	-0.00663887026476014	-3.91520950425008	3.88117616027825	0.00208865681590926	0.0351987809676889
GLM_combined	Regions	Anatidae Count Origin	-0.0124164928471997	-3.99013177819519	3.78763032386992	0.00933229641151078	0.158421096174614
GLM_combined	Regions	Anatidae Count Destination	0.0116895712234071	-3.961021139303	3.808278671216	0.00191089878902345	0.03219740470801
GLM_combined	Regions	Laridae Count Origin	-0.0100562795866859	-3.87345405760597	3.91454924439759	0.00871014331740954	0.147766890101131
GLM_combined	Regions	Laridae Count Destination	0.00735038901136897	-3.84697279788013	3.90830120763386	0.00164426174869467	0.0276973443087821
GLM_combined	Regions	Case Count Origin	1.3600775806082	-3.34850287702405	3.70779842943648	0.363181868681253	9.59094131066814
GLM_combined	Regions	Case Count Destination	-0.00976782270577669	-3.94944921857316	3.87555690233264	0.00653260748805757	0.110582254949825
